127.0.0.1 - - [07/Mar/2025:13:01:46 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:01:47 +0530] "GET /ServletApplication-5/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:01:47 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:02:00 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:04:43 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:04:47 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:08:36 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:09:10 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:12:29 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:13:00 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:13:03 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:13:29 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:14:21 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:14:55 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:15:17 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:15:32 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:15:46 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:16:04 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:16:19 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:16:21 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Mar/2025:23:38:51 +0530] "GET /ServletApplication-5/ HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [07/Mar/2025:23:38:51 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Mar/2025:23:39:08 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [07/Mar/2025:23:41:20 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [07/Mar/2025:23:43:12 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Mar/2025:23:43:30 +0530] "POST /ServletApplication-5/dis HTTP/1.1" 200 651
